,provstate,city,latitude,longitude,doubtterr,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,propvalue,INT_IDEO,INT_MISC,president_party,state_governor_party,date
21,Washington,Seattle,47.610786,-122.33130600000001,1,1,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,3000,-9,0,Republican,Republican,1-28-1970
22,Nebraska,South Sioux City,42.479999,-96.413046,0,1,Bombing/Explosion,Unknown,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-30-1970
23,Nebraska,South Sioux City,42.46634,-96.41405,0,1,Bombing/Explosion,Business,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,2500,-9,0,Republican,Republican,1-30-1970
24,Florida,Coral Gables,25.720851,-80.277857,0,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",1-30-1970
25,Colorado,Denver,39.758967999999996,-104.876305,1,1,Bombing/Explosion,Police,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,1-31-1970
26,Oregon,Portland,45.511795,-122.675629,1,1,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,1.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,4189,-9,0,Republican,Republican,2-1-1970
27,Illinois,Cairo,37.005105,-89.17626899999999,0,1,Armed Assault,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Firearms,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-1-1970
28,New York,New York City,40.697132,-73.931351,0,0,Facility/Infrastructure Attack,Business,United States,Unknown,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-2-1970
29,New York,New York City,40.697132,-73.931351,0,0,Facility/Infrastructure Attack,Business,United States,Unknown,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-3-1970
30,New York,New York City,40.697132,-73.931351,0,0,Facility/Infrastructure Attack,Business,United States,Unknown,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-3-1970
31,Ohio,Akron,41.084195,-81.514059,0,1,Bombing/Explosion,Private Citizens & Property,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-4-1970
32,Colorado,Denver,39.758967999999996,-104.876305,0,1,Bombing/Explosion,Transportation,United States,Black Nationalists,3.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,200000,-9,0,Republican,Republican,2-6-1970
33,Washington,Seattle,47.610786,-122.33130600000001,0,1,Bombing/Explosion,Government (General),United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,1000,-9,0,Republican,Republican,2-6-1970
34,Washington,Seattle,47.610786,-122.33130600000001,1,1,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-6-1970
35,Puerto Rico,Dorado,18.460791,-66.264884,0,1,Facility/Infrastructure Attack,Government (General),United States,Armed Revolutionary Independence Movement (MIRA),-99.0,-99.0,1.0,Letter,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,New Progressive Party,2-6-1970
36,Puerto Rico,Rio Piedras,18.386932,-66.061127,0,1,Facility/Infrastructure Attack,Utilities,United States,Armed Revolutionary Independence Movement (MIRA),-99.0,-99.0,1.0,Letter,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,New Progressive Party,2-6-1970
37,Puerto Rico,Carolina,18.441963,-66.02631600000001,0,1,Facility/Infrastructure Attack,Business,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),-99.0,-99.0,1.0,Letter,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,New Progressive Party,2-6-1970
38,Massachusetts,Boston,42.3505,-71.105399,1,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-6-1970
39,Wisconsin,Whitewater,42.838355,-88.743224,1,1,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,1000000,-9,0,Republican,Republican,2-7-1970
40,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),-99.0,-99.0,1.0,Letter,Explosives,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,Republican,2-8-1970
41,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),-99.0,-99.0,1.0,Letter,Explosives,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,Republican,2-8-1970
42,New York,New York City,40.697132,-73.931351,0,0,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),1.0,1.0,1.0,Letter,Explosives,0,0.0,0.0,0.0,0.0,0.0,,1,0,Republican,Republican,2-9-1970
43,Ohio,Batavia,39.078590000000005,-84.17941400000001,1,1,Bombing/Explosion,Private Citizens & Property,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-9-1970
44,Michigan,Ypsilanti,42.263414000000004,-83.66528100000001,1,1,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,2500,-9,0,Republican,Republican,2-11-1970
45,California,Berkeley,37.874043,-122.280022,0,1,Bombing/Explosion,Police,United States,Unknown,,,,,Explosives,0,,,7.0,,,8000,-9,0,Republican,"Democrat, Republican",2-13-1970
46,California,Berkeley,37.874043,-122.280022,0,1,Bombing/Explosion,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,7.0,7.0,0.0,,-9,0,Republican,"Democrat, Republican",2-13-1970
47,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-15-1970
48,Oregon,Eugene,44.04483,-123.07260600000001,0,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,1.0,1.0,0.0,350000,-9,-9,Republican,Republican,2-15-1970
49,California,San Francisco,37.755363,-122.443352,0,1,Bombing/Explosion,Police,United States,Unknown,,,,,Explosives,1,,,0.0,,,3000,-9,0,Republican,"Democrat, Republican",2-16-1970
50,California,Berkeley,37.874043,-122.280022,-9,1,Bombing/Explosion,Business,United States,Unknown,,,,,Explosives,0,,,0.0,,,0,-9,0,Republican,"Democrat, Republican",2-16-1970
51,California,Berkeley,37.874043,-122.280022,-9,1,Bombing/Explosion,Business,United States,Unknown,,,,,Explosives,0,,,0.0,,,0,-9,0,Republican,"Democrat, Republican",2-16-1970
52,California,San Francisco,37.755363,-122.443352,0,0,Armed Assault,Police,United States,Left-Wing Militants,1.0,-99.0,0.0,,Firearms,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",2-16-1970
53,California,Oakland,37.791927,-122.22590600000001,1,0,Bombing/Explosion,Business,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",2-17-1970
54,Maryland,Buckeystown,39.334825,-77.431653,1,1,Bombing/Explosion,Utilities,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,2-17-1970
55,Louisiana,Covington,30.493919,-90.132512,0,1,Bombing/Explosion,Educational Institution,United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,2-17-1970
56,Washington,Seattle,47.610786,-122.33130600000001,0,0,Bombing/Explosion,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-17-1970
57,Ohio,Cleveland,41.479561,-81.675461,0,1,Bombing/Explosion,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-18-1970
58,California,Vallejo,38.10083,-122.254954,0,1,Bombing/Explosion,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",2-18-1970
59,Connecticut,Hartford,41.763325,-72.67406899999999,0,1,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,-99.0,-99.0,1.0,Unknown,Incendiary,0,0.0,0.0,0.0,0.0,0.0,450,-9,0,Republican,Democrat,2-20-1970
60,New York,New York City,40.697132,-73.931351,0,1,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-20-1970
61,Washington,Seattle,47.610786,-122.33130600000001,0,1,Bombing/Explosion,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-20-1970
62,New York,New York City,40.697132,-73.931351,0,0,Facility/Infrastructure Attack,Police,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-21-1970
63,New York,New York City,40.697132,-73.931351,0,1,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-21-1970
64,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Private Citizens & Property,United States,"Weather Underground, Weathermen",4.0,-99.0,1.0,Letter,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,2-21-1970
65,Colorado,Denver,39.758967999999996,-104.876305,0,1,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-21-1970
66,New York,Ithaca,42.455233,-76.475847,0,1,Facility/Infrastructure Attack,Educational Institution,United States,White extremists,-99.0,0.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,Republican,2-22-1970
67,Wisconsin,Prairie du Sac,43.287052,-89.724361,0,0,Bombing/Explosion,Utilities,United States,New Year's Gang,1.0,1.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,2-22-1970
68,Nebraska,South Sioux City,42.47031,-96.413949,0,1,Bombing/Explosion,Utilities,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-23-1970
69,Nebraska,South Sioux City,42.47031,-96.413949,0,1,Bombing/Explosion,Utilities,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-23-1970
70,Nebraska,South Sioux City,42.47031,-96.413949,0,1,Bombing/Explosion,Utilities,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-23-1970
71,Nebraska,South Sioux City,42.47031,-96.413949,0,1,Bombing/Explosion,Utilities,United States,Strikers,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-23-1970
72,Arizona,Tucson,32.222232,-110.925752,0,1,Bombing/Explosion,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-23-1970
73,Colorado,Denver,39.758967999999996,-104.876305,0,1,Bombing/Explosion,Private Citizens & Property,United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-24-1970
74,Illinois,Champaign,40.101952000000004,-88.227161,0,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,2000,-9,0,Republican,Republican,2-24-1970
75,Colorado,Boulder,40.007581,-105.265942,0,1,Bombing/Explosion,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,2-27-1970
76,Colorado,Boulder,40.007581,-105.265942,0,1,Bombing/Explosion,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,2000,-9,0,Republican,Republican,3-1-1970
77,Colorado,Colorado Springs,38.864281,-104.778412,0,1,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-1-1970
78,Colorado,Boulder,40.007581,-105.265942,0,1,Facility/Infrastructure Attack,Police,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-1-1970
79,Colorado,Boulder,40.014986,-105.270546,0,1,Bombing/Explosion,Police,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-1-1970
80,Ohio,Cleveland,41.479561,-81.675461,0,1,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,200,-9,0,Republican,Republican,3-2-1970
81,Colorado,Denver,39.758967999999996,-104.876305,1,1,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,Republican,3-3-1970
82,Washington,Seattle,47.610786,-122.33130600000001,0,1,Bombing/Explosion,Government (General),United States,Student Radicals,4.0,4.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-3-1970
83,California,Oakland,37.791927,-122.22590600000001,0,0,Bombing/Explosion,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",3-4-1970
84,California,Martinez,38.019304,-122.13406200000001,1,0,Bombing/Explosion,Transportation,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",3-4-1970
85,Colorado,Denver,39.758967999999996,-104.876305,1,1,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,Republican,3-4-1970
86,Washington,Seattle,47.610786,-122.33130600000001,1,1,Bombing/Explosion,Government (General),United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-5-1970
87,Colorado,Denver,39.758967999999996,-104.876305,1,1,Bombing/Explosion,Private Citizens & Property,,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,-9,Republican,Republican,3-5-1970
88,Puerto Rico,San Juan,18.386932,-66.061127,0,1,Assassination,Military,United States,Armed Commandos of Liberation,-99.0,-99.0,0.0,,Firearms,2,2.0,0.0,0.0,0.0,0.0,,0,1,Republican,New Progressive Party,3-5-1970
89,Michigan,Detroit,42.331685,-83.047924,0,0,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,3-6-1970
90,Michigan,Detroit,42.331685,-83.047924,0,0,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,3-6-1970
91,California,Berkeley,37.874043,-122.280022,-9,1,Facility/Infrastructure Attack,Educational Institution,United States,Unknown,,,,,Incendiary,0,,,0.0,,,320000,-9,0,Republican,"Democrat, Republican",3-9-1970
92,Alabama,Ashville,33.83651,-86.254749,0,1,Facility/Infrastructure Attack,Private Citizens & Property,United States,Ku Klux Klan,,,,,Chemical,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Democrat,3-9-1970
93,Connecticut,Bridgeport,41.18188,-73.19126899999999,1,1,Facility/Infrastructure Attack,Religious Figures/Institutions,United States,White extremists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,3-9-1970
94,New Mexico,Albuquerque,35.084319,-106.619781,0,0,Bombing/Explosion,Military,United States,White extremists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,,3-9-1970
95,Maryland,Bel Air,39.538940000000004,-76.348479,0,0,Bombing/Explosion,Unknown,United States,Black Nationalists,2.0,0.0,0.0,,Explosives,2,2.0,2.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,3-9-1970
96,Maryland,Cambridge,38.563122,-76.078063,0,1,Bombing/Explosion,Government (General),United States,Left-Wing Militants,1.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,3-10-1970
97,California,San Francisco,37.755363,-122.443352,0,0,Facility/Infrastructure Attack,Business,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",3-10-1970
98,Illinois,Champaign,40.102408000000004,-88.227159,0,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-11-1970
99,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Revolutionary Force 9,,,,,Explosives,0,,,0.0,,,25000,0,0,Republican,Republican,3-12-1970
100,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Revolutionary Force 9,,,,,Explosives,0,,,0.0,,,25000,0,0,Republican,Republican,3-12-1970
101,Illinois,Chicago,41.842602,-87.681229,1,1,Bombing/Explosion,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-12-1970
102,Illinois,Chicago,41.842602,-87.681229,1,1,Bombing/Explosion,Police,United States,Black Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-12-1970
103,New York,New York City,40.697132,-73.931351,0,1,Bombing/Explosion,Business,United States,Revolutionary Force 9,-99.0,-99.0,1.0,Call (pre-incident),Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,Republican,3-12-1970
104,Wisconsin,Appleton,44.260288,-88.39745500000001,0,1,Facility/Infrastructure Attack,Military,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-13-1970
105,Wisconsin,Appleton,44.268598,-88.42844000000001,0,1,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-13-1970
106,New York,New York City,40.697132,-73.931351,0,0,Bombing/Explosion,Military,United States,Left-Wing Militants,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-14-1970
107,California,Long Beach,33.766725,-118.192399,0,1,Hijacking,Military,United States,Left-Wing Militants,2.0,1.0,0.0,,Firearms,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,"Democrat, Republican",3-14-1970
108,Puerto Rico,San Juan,18.386932,-66.061127,0,1,Bombing/Explosion,Business,United States,Puerto Rican Nationalists,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,New Progressive Party,3-15-1970
109,Montana,Billings,45.783975,-108.505794,1,1,Bombing/Explosion,Police,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Democrat,3-15-1970
110,California,San Bernardino,34.105245000000004,-117.294124,0,1,Facility/Infrastructure Attack,Government (General),United States,White extremists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,1.0,1.0,0.0,4000,-9,0,Republican,"Democrat, Republican",3-16-1970
111,California,Los Angeles,34.097865999999996,-118.407379,0,1,Bombing/Explosion,Educational Institution,United States,Chicano Liberation Front,-99.0,-99.0,1.0,Other,Explosives,0,0.0,0.0,0.0,0.0,0.0,,0,0,Republican,"Democrat, Republican",3-17-1970
112,Ohio,Lockland,39.226834999999994,-84.45330899999999,1,1,Bombing/Explosion,Utilities,United States,Unknown,-99.0,-99.0,0.0,,Explosives,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-18-1970
113,Oregon,Portland,45.511795,-122.675629,0,0,Bombing/Explosion,Military,United States,White extremists,-99.0,-99.0,0.0,,Incendiary,0,0.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-20-1970
114,Michigan,Detroit,42.331685,-83.047924,1,1,Assassination,Private Citizens & Property,United States,White extremists,-99.0,-99.0,0.0,,Firearms,1,1.0,0.0,0.0,0.0,0.0,,-9,0,Republican,Republican,3-20-1970
